Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",0,3.90,Penguin Books,Paperback,1023,2003,1605,,2022/02/06,to-read,to-read (#36),to-read,,,,0,0
15997,Paradise Lost,John Milton,"Milton, John",,"=""0140424393""","=""9780140424393""",0,3.85,Penguin Classics,Paperback,512,2003,1667,,2022/02/04,to-read,to-read (#35),to-read,,,,0,0
284996,The Complete Stories,Flannery O'Connor,"O'Connor, Flannery",Robert Giroux,"=""""","=""""",0,4.39,"Farrar, Straus & Giroux",Paperback,555,1971,1971,,2022/01/23,to-read,to-read (#34),to-read,,,,0,0
12497,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.16,Knopf Doubleday Publishing Group,Paperback,309,2006,2005,,2022/01/23,to-read,to-read (#33),to-read,,,,0,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.16,Vintage Books,Paperback,351,2010,1985,,2022/01/23,to-read,to-read (#32),to-read,,,,0,0
4645,The Snows of Kilimanjaro and Other Stories (Scribner Classics),Ernest Hemingway,"Hemingway, Ernest",,"=""0684862212""","=""9780684862217""",0,3.80,Scribner,Hardcover,144,1999,1936,,2022/01/23,to-read,to-read (#31),to-read,,,,0,0
8823018,The Works of Guy De Maupassant - Volume II - Monsieur Parent and Other Stories,Guy de Maupassant,"Maupassant, Guy de",,"=""1445576791""","=""9781445576794""",0,3.65,Read Books,Paperback,435,2010,1881,,2022/01/23,to-read,to-read (#29),to-read,,,,0,0
130411,The Kiss and Other Stories (Penguin Classics),Anton Chekhov,"Chekhov, Anton",Ronald Wilks,"=""0140443363""","=""9780140443363""",0,4.11,Penguin Classics,Mass Market Paperback,330,1982,1965,,2022/01/23,to-read,to-read (#28),to-read,,,,0,0
28458,Sketches from a Hunter's Album,Ivan Turgenev,"Turgenev, Ivan",Richard Freeborn,"=""0140445226""","=""9780140445220""",0,3.96,Penguin Classics,Paperback,403,1990,1852,,2022/01/23,to-read,to-read (#27),to-read,,,,0,0
1715,Metamorphoses,Ovid,"Ovid, Ovid","David Raeburn, Denis Feeney","=""014044789X""","=""9780140447897""",0,4.09,Penguin,Paperback,723,2004,8,,2022/01/16,to-read,to-read (#26),to-read,,,,0,0
